Authors,Title,Journal,Abstract
"['Welkenhuysen M', 'Van Kuyck K', 'Das J', 'Sciot R', 'Nuttin B.']",Electrical stimulation in the lateral hypothalamus in rats in the activity-based anorexia model.,Neurosurg Focus,"Object:
        
      
      One quarter of patients with anorexia nervosa have a poor outcome and continue to suffer chronically or die. Electrical brain stimulation may be of therapeutic benefit in some of these patients; however, the brain target for inducing symptom relief is unknown. In this study, the authors evaluated the effects of acute and chronic electrical stimulation in the lateral hypothalamus on food intake, locomotor activity, and survival time in rats in an activity-based anorexia model.
    


          Methods:
        
      
      In an acute experiment, the authors electrically stimulated at 100 Hz and 0, 25, 50 and 75% of the maximal stimulation amplitude (that is, the amplitude leading to severe side effects) in the lateral hypothalamus on consecutive days during 4 test sessions in 10 rats and evaluated food intake and locomotor activity. In a chronic experiment, they compared food intake, wheel revolutions, and survival time between 6 rats that underwent electrical stimulation in the lateral hypothalamus (50% of maximal stimulation amplitude) and 8 rats that did not undergo stimulation.
    


          Results:
        
      
      In the acute experiment, overall electrical stimulation (25, 50, and 75% combined) and stimulation at 75% of the maximal stimulation amplitude significantly decreased the locomotor activity. However, if the authors omitted results of 1 rat, in which the electrode tip was not located in the lateral hypothalamus on one side but rather in the supraoptic chiasm, the remaining results did not yield significance. No other differences were observed.
    


          Conclusions:
        
      
      When the findings of the current study are extrapolated to patients with anorexia nervosa, the authors do not expect major effects on symptoms with electrical stimulation at high frequency in the lateral hypothalamus."
"['Hosoda H', 'Kojima M', 'Kangawa K.']","Biological, physiological, and pharmacological aspects of ghrelin.",J Pharmacol Sci,"Ghrelin, identified as an endogenous ligand for the growth hormone secretagogue receptor, functions as a somatotrophic and orexigenic signal from the stomach. Ghrelin has a unique post-translational modification: the hydroxyl group of the third amino acid, usually a serine but in some species a threonine, is esterified by octanoic acid and is essential for ghrelin's biological activities. The secretion of ghrelin increases under conditions of negative energy-balance, such as starvation, cachexia, and anorexia nervosa, whereas its expression decreases under conditions of positive energy-balance such as feeding, hyperglycemia, and obesity. In addition to having a powerful effect on the secretion of growth hormone, ghrelin stimulates food intake and transduces signals to hypothalamic regulatory nuclei that control energy homeostasis. Thus, it is interesting to note that the stomach may play an important role in not only digestion but also pituitary growth hormone release and central feeding regulation. We summarized recent findings on the integration of ghrelin into neuroendocrine networks that regulate food intake, energy balance, gastrointestinal function and growth."
"['Chowdhury TG', 'Wable GS', 'Chen YW', 'Tateyama K', 'Yu I', 'Wang JY', 'Reyes AD', 'Aoki C.']",Voluntary Wheel Running Exercise Evoked by Food-Restriction Stress Exacerbates Weight Loss of Adolescent Female Rats But Also Promotes Resilience by Enhancing GABAergic Inhibition of Pyramidal Neurons in the Dorsal Hippocampus.,Cereb Cortex,"Adolescence is marked by increased vulnerability to mental disorders and maladaptive behaviors, including anorexia nervosa. Food-restriction (FR) stress evokes foraging, which translates to increased wheel running exercise (EX) for caged rodents, a maladaptive behavior, since it does not improve food access and exacerbates weight loss. While almost all adolescent rodents increase EX following FR, some then become resilient by suppressing EX by the second-fourth FR day, which minimizes weight loss. We asked whether GABAergic plasticity in the hippocampus may underlie this gain in resilience. In vitro slice physiology revealed doubling of pyramidal neurons' GABA response in the dorsal hippocampus of food-restricted animals with wheel access (FR + EX for 4 days), but without increase of mIPSC amplitudes. mIPSC frequency increased by 46%, but electron microscopy revealed no increase in axosomatic GABAergic synapse number onto pyramidal cells and only a modest increase (26%) of GABAergic synapse lengths. These changes suggest increase of vesicular release probability and extrasynaptic GABAA receptors and unsilencing of GABAergic synapses. GABAergic synapse lengths correlated with individual's suppression of wheel running and weight loss. These analyses indicate that EX can have dual roles-exacerbate weight loss but also promote resilience to some by dampening hippocampal excitability."
"['Hillebrand JJ', 'Kas MJ', 'Scheurink AJ', 'van Dijk G', 'Adan RA.']",AgRP(83-132) and SHU9119 differently affect activity-based anorexia.,Eur Neuropsychopharmacol,"Activity-based anorexia (ABA) mimics starvation and hyperactivity of anorexia nervosa patients in rats. Activation of the melanocortin (MC) system leads to hypophagia and increased energy expenditure in ad libitum fed rats. Therefore, activation of the MC system might underlie the development and propagation of ABA. Pro-opiomelanocortin (POMC) gene expression is normally decreased during negative energy balance. Strikingly, we found a transient up-regulation of POMC mRNA levels in the arcuate nucleus during the development of ABA, indicating a hyperactive MC system. However, wheel running and food intake were not influenced by treating ABA rats with the competitive antagonist SHU9119. This suggests that agonism of MC receptors by endogenous alpha-melanocyte-stimulating hormone (alpha-MSH) levels does not underlie ABA. Instead, treatment with the inverse agonist AgRP(83-132) did ameliorate signs of ABA. This implies that modulation of constitutive MC receptor activity rather than antagonizing putative alpha-MSH release contributes to the development and propagation of ABA."
"['Monteleone P', 'Maj M.']","Dysfunctions of leptin, ghrelin, BDNF and endocannabinoids in eating disorders: beyond the homeostatic control of food intake.",Psychoneuroendocrinology,"A large body of literature documents the occurrence of alterations in the physiology of both central and peripheral modulators of appetite in acute patients with anorexia nervosa (AN) and bulimia nervosa (BN). Until more recently the role of most of the appetite modulators in the control of eating behavior was conceptualized solely in terms of their influence on homeostatic control of energy balance. However, it is becoming more and more evident that appetite modulators also affect the non-homeostatic cognitive, emotional and rewarding component of food intake as well as non food-related reward, and, recently, AN and BN have been pathophysiologically linked to dysfunctions of reward mechanisms. Therefore, the possibility exists that observed changes in appetite modulators in acute AN and BN may represent not only homeostatic adaptations to malnutrition, but also contribute to the development and/or the maintenance of aberrant non-homeostatic behaviors, such as self-starvation and binge eating. In the present review, the evidences supporting a role of leptin, ghrelin, brain-derived neurotrophic factor and endocannabinoids in the homeostatic and non-homeostatic dysregulations of patients with AN and BN will be presented. The reviewed literature is highly suggestive that changes in the physiology of these modulators may play a pivotal role in the pathophysiology of eating disorders by providing a possible link between motivated behaviors, reward processes, cognitive functions and energy balance."
"['Cui H', 'Lu Y', 'Khan MZ', 'Anderson RM', 'McDaniel L', 'Wilson HE', 'Yin TC', 'Radley JJ', 'Pieper AA', 'Lutter M.']",Behavioral disturbances in estrogen-related receptor alpha-null mice.,Cell Rep,"Eating disorders, such as anorexia nervosa and bulimia nervosa, are common and severe mental illnesses of unknown etiology. Recently, we identified a rare missense mutation in the transcription factor estrogen-related receptor alpha (ESRRA) that is associated with the development of eating disorders. However, little is known about ESRRA function in the brain. Here, we report that Esrra is expressed in the mouse brain and demonstrate that Esrra levels are regulated by energy reserves. Esrra-null female mice display a reduced operant response to a high-fat diet, compulsivity/behavioral rigidity, and social deficits. Selective Esrra knockdown in the prefrontal and orbitofrontal cortices of adult female mice recapitulates reduced operant response and increased compulsivity, respectively. These results indicate that Esrra deficiency in the mouse brain impairs behavioral responses in multiple functional domains."
"['Hassouna R', 'Labarthe A', 'Tolle V.']",Hypothalamic regulation of body growth and appetite by ghrelin-derived peptides during balanced nutrition or undernutrition.,Mol Cell Endocrinol,"Among the gastrointestinal hormones that regulate food intake and energy homeostasis, ghrelin plays a unique role as the first one identified to increases appetite and stimulate GH secretion. This review highlights the latest mechanism by which ghrelin modulates body growth, appetite and energy metabolism by exploring pharmacological actions of the hormone and consequences of genetic or pharmacological blockade of the ghrelin/GHS-R (Growth Hormone Secretagogue Receptor) system on physiological responses in specific nutritional situations. Within the hypothalamus, novel mechanisms of action of this hormone involve its interaction with other ghrelin-derived peptides, such as desacyl ghrelin and obestatin, which are thought to act as functional ghrelin antagonists, and possible modulation of the GHS-R with other G-protein coupled receptors. During chronic undernutrition such as anorexia nervosa, variations of ghrelin-derived peptides may be an adaptative metabolic response to maintain normal glycemic control. Interestingly, some of ghrelin's metabolic actions are thought to be relayed through modulation of GH, an anabolic and hyperglycemic agent."
"['Perez-Leighton CE', 'Grace M', 'Billington CJ', 'Kotz CM.']",Role of spontaneous physical activity in prediction of susceptibility to activity based anorexia in male and female rats.,Physiol Behav,"Anorexia nervosa (AN) is a chronic eating disorder affecting females and males, defined by body weight loss, higher physical activity levels and restricted food intake. Currently, the commonalities and differences between genders in etiology of AN are not well understood. Animal models of AN, such as activity-based anorexia (ABA), can be helpful in identifying factors determining individual susceptibility to AN. In ABA, rodents are given an access to a running wheel while food restricted, resulting in paradoxical increased physical activity levels and weight loss. Recent studies suggest that different behavioral traits, including voluntary exercise, can predict individual weight loss in ABA. A higher inherent drive for movement may promote development and severity of AN, but this hypothesis remains untested. In rodents and humans, drive for movement is defined as spontaneous physical activity (SPA), which is time spent in low-intensity, non-volitional movements. In this paper, we show that a profile of body weight history and behavioral traits, including SPA, can predict individual weight loss caused by ABA in male and female rats with high accuracy. Analysis of the influence of SPA on ABA susceptibility in males and females rats suggests that either high or low levels of SPA increase the probability of high weight loss in ABA, but with larger effects in males compared to females. These results suggest that the same behavioral profile can identify individuals at-risk of AN for both male and female populations and that SPA has predictive value for susceptibility to AN."
"['Paulukat L', 'Frintrop L', 'Liesbrock J', 'Heussen N', 'Johann S', 'Exner C', 'Kas MJ', 'Tolba R', 'Neulen J', 'Konrad K', 'Herpertz-Dahlmann B', 'Beyer C', 'Seitz J.']",Memory impairment is associated with the loss of regular oestrous cycle and plasma oestradiol levels in an activity-based anorexia animal model.,World J Biol Psychiatry,"Objectives:
        
      
      Patients with anorexia nervosa (AN) suffer from neuropsychological deficits including memory impairments. Memory partially depends on 17β-oestradiol (E2), which is reduced in patients with AN. We assessed whether memory functions correlate with E2 plasma levels in the activity-based anorexia (ABA) rat model.
    


          Methods:
        
      
      Nine 4-week-old female Wistar rats were sacrificed directly after weight loss of 20-25% (acute starvation), whereas 17 animals had additional 2-week weight-holding (chronic starvation). E2 serum levels and novel object recognition tasks were tested before and after starvation and compared with 21 normally fed controls.
    


          Results:
        
      
      Starvation disrupted menstrual cycle and impaired memory function, which became statistically significant in the chronic state (oestrous cycle (P < 0.001), E2 levels (P = 0.011) and object recognition memory (P = 0.042) compared to controls). E2 reduction also correlated with the loss of memory in the chronic condition (r = 0.633, P = 0.020).
    


          Conclusions:
        
      
      Our results demonstrate that starvation reduces the E2 levels which are associated with memory deficits in ABA rats. These effects might explain reduced memory capacity in patients with AN as a consequence of E2 deficiency and the potentially limited effectiveness of psychotherapeutic interventions in the starved state. Future studies should examine whether E2 substitution could prevent cognitive deficits and aid in earlier readiness for therapy."
"['Luyten L', 'Welkenhuysen M', 'van Kuyck K', 'Fieuws S', 'Das J', 'Sciot R', 'Nuttin B.']","The effects of electrical stimulation or an electrolytic lesion in the mediodorsal thalamus of the rat on survival, body weight, food intake and running activity in the activity-based anorexia model.",Brain Res Bull,"The glucose metabolism in the mediodorsal thalamus (MD) is increased in rats in the activity-based anorexia (ABA) model. In patients, electrical stimulation in hyperactive brain regions reduced symptoms in e.g. major depressive disorder and cluster headache. In two blinded randomised controlled experiments, we therefore examined the effects of high-frequency electrical stimulation and an electrolytic lesion in the MD in a validated rat model for anorexia nervosa. The ABA model was successfully replicated in all our experiments, with a reduction in body weight, food intake, and survival time and an increase in running activity. In a first experiment, we evaluated the effect of electrical stimulation or a curative lesion in the MD on survival, body weight, food intake and locomotor activity in ABA rats. Electrical MD stimulation or an electrolytic MD lesion did not improve the symptoms of rats in the ABA model, compared to control groups. In a second experiment, we investigated the effect of a preventive electrolytic lesion in the MD on rats in the ABA model. Although there was no significant improvement of survival, body weight and food intake, locomotor activity was significantly reduced in the lesion group compared to the control group. Apart from this positive effect on running activity, we found no convincing evidence for the suitability of the MD as a neuromodulation target for anorexia nervosa patients."
"['Bernardi F', 'Pluchino N', 'Begliuomini S', 'Lenzi E', 'Palumbo M', 'Luisi M', 'Genazzani AR.']","Disadaptive disorders in women: allopregnanolone, a sensitive steroid.",Gynecol Endocrinol,"Allopregnanolone, a neurosteroid acting as a potent anxiolytic agonist of the gamma-aminobutyric acid A receptor, has been shown in animal models to modify its concentrations at central and peripheral levels according to the estrous cycle. Moreover, it modulates behavioral and biochemical responses to acute and chronic stress, anxiety, depression, aggressiveness, convulsions, anesthesia, sleep, memory, pain and feeding. These observations suggest that fluctuations of allopregnanolone might be involved in the development, course and prognosis of some mental disorders in humans. This has been hypothesized for depressive disorders, premenstrual dysphoria, anorexia and bulimia nervosa and Alzheimer's disease, where increased, decreased or dysregulated secretion of the main neurosteroids and their metabolites has been observed. Women show a marked gender-related sensitivity to disadaptive disorders. In addition to the well-studied role of sex steroids in modulating mood and behavior, a putative involvement of neurosteroid fluctuations, and in particular of allopregnanolone, has recently been hypothesized. In fact, several paraphysiological events and various disadaptive disorders in women are associated with modifications of circulating levels of this neurosteroid that might associated with a certain vulnerability to an altered adaptation to stressful life events."
"['Mercader JM', 'Lozano JJ', 'Sumoy L', 'Dierssen M', 'Visa J', 'Gratacòs M', 'Estivill X.']",Hypothalamus transcriptome profile suggests an anorexia-cachexia syndrome in the anx/anx mouse model.,Physiol Genomics,"The anx/anx mouse displays poor appetite and lean appearance and is considered a good model for the study of anorexia nervosa. To identify new genes involved in feeding behavior and body weight regulation we performed an expression profiling in the hypothalamus of the anx/anx mice. Using commercial microarrays we detected 156 differentially expressed genes and validated 92 of those using TaqMan low-density arrays. The expression of a set of 87 candidate genes selected based on literature evidences was also quantified by TaqMan low-density arrays. Our results showed enrichment in deregulated genes involved in cell death, cell morphology, and cancer, as well as an alteration of several signaling circuits involved in energy balance including neuropeptide Y and melanocortin signaling. The expression profile along with the phenotype led us to conclude that anx/anx mice resemble the anorexia-cachexia syndrome typically observed in cancer, infection with human immunodeficiency virus or chronic diseases, rather than starvation, and that anx/anx mice could be considered a good model for the treatment and investigation of this condition."
"['Giustina A', 'Mazziotti G', 'Canalis E.']","Growth hormone, insulin-like growth factors, and the skeleton.",Endocr Rev,"GH and IGF-I are important regulators of bone homeostasis and are central to the achievement of normal longitudinal bone growth and bone mass. Although GH may act directly on skeletal cells, most of its effects are mediated by IGF-I, which is present in the systemic circulation and is synthesized by peripheral tissues. The availability of IGF-I is regulated by IGF binding proteins. IGF-I enhances the differentiated function of the osteoblast and bone formation. Adult GH deficiency causes low bone turnover osteoporosis with high risk of vertebral and nonvertebral fractures, and the low bone mass can be partially reversed by GH replacement. Acromegaly is characterized by high bone turnover, which can lead to bone loss and vertebral fractures, particularly in patients with coexistent hypogonadism. GH and IGF-I secretion are decreased in aging individuals, and abnormalities in the GH/IGF-I axis play a role in the pathogenesis of the osteoporosis of anorexia nervosa and after glucocorticoid exposure."
"['Sapolsky RM', 'Plotsky PM.']",Hypercortisolism and its possible neural bases.,Biol Psychiatry,"As is clear from the pages of this journal, biological psychiatrists remain fascinated by the phenomenon of dexamethasone (DEX) resistance and the hypercortisolism of various neuropsychiatric disorders. The mere existence of the endocrine abnormalities attests to the biological reality of these disorders. Furthermore, progress continues in using the occurrence of these endocrine defects as both diagnostic and prognostic markers of disease subtypes. Progress has also been made in understanding the mechanisms underlying the endocrine defects. The adrenocortical axis is vastly complex, involving multiple hypothalamic-releasing factors under CNS control, shifting pituitary and adrenal sensitivies to hormonal signals, and feedback regulation at all three levels. What defects within this system produce DEX resistance and hypercortisolism? In this paper, we review data suggesting that the endocrine problems is, at least in part, neural in nature. Drawing upon a rodent literature, we will also suggest some models by which this can occur. The hypercortisolism found in cases of affective disorders, anorexia nervosa, Alzheimer's disease, among the very aged or the chronically stressed, is not a uniform phenomenon. Basal cortisol concentrations can be elevated in all or part of the circadian cycle. Resistance to glucocorticoid (GC) feedback inhibition (as typically demonstrated by DEX resistance) can occur; the resistance can be complete, or occur as early escape from DEX suppression. Finally, elevated basal cortisol concentrations and DEX resistance can occur independently of each other. Until the end of this review, we will conveniently refer to these variants of adrenocortical hyperactivity as ""hypercortisolism."" In addition, rather than using the term ""hypercortisolism"" for the rat, we will use ""hyperadrenocorticism"" (as they secrete corticosterone, rather than cortisol)."
"['Casper RC', 'Sullivan EL', 'Tecott L.']",Relevance of animal models to human eating disorders and obesity.,Psychopharmacology (Berl),"Background and rationale:
        
      
      This review addresses the role animal models play in contributing to our knowledge about the eating disorders anorexia nervosa (AN) and bulimia nervosa (BN) and obesity.
    


          Objectives:
        
      
      Explore the usefulness of animal models in complex biobehavioral familial conditions, such as AN, BN, and obesity, that involve interactions among genetic, physiologic, psychological, and cultural factors.
    


          Results and conclusions:
        
      
      The most promising animal model to mimic AN is the activity-based anorexia rodent model leading to pathological weight loss. The paradigm incorporates reward elements of the drive for activity in the presence of an appetite and allows the use of genetically modified animals. For BN, the sham-feeding preparation in rodents equipped with a gastric fistula appears to be best suited to reproduce the postprandial emesis and the defects in satiety. Animal models that incorporate genes linked to behavior and mood may clarify biobehavioral processes underlying AN and BN. By contrast, a relative abundance of animal models has contributed to our understanding of human obesity. Both environmental and genetic determinants of obesity have been modeled in rodents. Here, we consider single gene mutant obesity models, along with models of obesigenic environmental conditions. The contributions of animal models to obesity research are illustrated by their utility for identifying genes linked to human obesity, for elucidating the pathways that regulate body weight and for the identification of potential therapeutic targets. The utility of these models may be further improved by exploring the impact of experimental manipulations on the behavioral determinants of energy balance."
"['Boersma GJ', 'Liang NC', 'Lee RS', 'Albertz JD', 'Kastelein A', 'Moody LA', 'Aryal S', 'Moran TH', 'Tamashiro KL.']",Failure to upregulate Agrp and Orexin in response to activity based anorexia in weight loss vulnerable rats characterized by passive stress coping and prenatal stress experience.,Psychoneuroendocrinology,"We hypothesize that anorexia nervosa (AN) poses a physiological stress. Therefore, the way an individual copes with stress may affect AN vulnerability. Since prenatal stress (PNS) exposure alters stress responsivity in offspring this may increase their risk of developing AN. We tested this hypothesis using the activity based anorexia (ABA) rat model in control and PNS rats that were characterized by either proactive or passive stress-coping behavior. We found that PNS passively coping rats ate less and lost more weight during the ABA paradigm. Exposure to ABA resulted in higher baseline corticosterone and lower insulin levels in all groups. However, leptin levels were only decreased in rats with a proactive stress-coping style. Similarly, ghrelin levels were increased only in proactively coping ABA rats. Neuropeptide Y (Npy) expression was increased and proopiomelanocortin (Pomc) expression was decreased in all rats exposed to ABA. In contrast, agouti-related peptide (Agrp) and orexin (Hctr) expression were increased in all but the PNS passively coping ABA rats. Furthermore, DNA methylation of the orexin gene was increased after ABA in proactive coping rats and not in passive coping rats. Overall our study suggests that passive PNS rats have innate impairments in leptin and ghrelin in responses to starvation combined with prenatal stress associated impairments in Agrp and orexin expression in response to starvation. These impairments may underlie decreased food intake and associated heightened body weight loss during ABA in the passively coping PNS rats."
"['Morris JA', 'Broughton SJ', 'Wessels Q.']","Microbes, molecular mimicry and molecules of mood and motivation.",Med Hypotheses,"The hypothesis proposed is that functional disorders, such as irritable bowel syndrome, chronic fatigue syndrome and anorexia nervosa are caused by auto-antibodies to neuronal proteins induced by molecular mimicry with microbial antigens. The age incidence of these conditions, the marked female excess, increase with economic and technological advance, precipitation by infection, and the paucity of histological changes are all consistent with the hypothesis. It can be tested directly using human sera to search for cross reaction with brain proteins in model systems such as Drosophila melanogaster. The conditions might be amenable to treatment using pooled immunoglobulin. Identification and elimination from the microbial flora of the bacteria that express the cross reacting antigens should be possible."
"['Camanni F', 'Ghigo E', 'Arvat E.']",Growth hormone-releasing peptides and their analogs.,Front Neuroendocrinol,"Growth hormone-releasing peptides (GHRPs) are a series of hepta (GHRP-1)- and hexapeptides (GHRP-2, GHRP-6, Hexarelin) that have been shown to be effective releasers of GH in animals and humans. More recently, a series of nonpeptidyl GH secretagogues (L-692,429, L-692,585, MK-0677) were discovered using GHRP-6 as a template. Some cyclic peptides as well as penta-, tetra-, and pseudotripeptides have also been described. This review summarizes recent developments in our understanding of the GHRPs, as well as the current nonpeptide pharmacologic analogs. GHRPs and their analogs have no structural homology with GHRH and act via specific receptors present at either the pituitary or the hypothalamic level. The GHRP receptor has recently been cloned and it does not show sequence homology with other G-protein-coupled receptors known so far. This evidence strongly suggests the existence of a natural GHRP-like ligand which, however, has not yet been found. Although the exact mechanism of action of GHRPs has not been fully established, there is probably a dual site of action on both the pituitary and the hypothalamus, possibly involving regulatory factors in addition to GHRH and somatostatin. Moreover, the possibility that GHRPs act via an unknown hypothalamic factor (U factor) is still open. The marked GH-releasing activity of GHRPs is reproducible and dose-related after intravenous, subcutaneous, intranasal, and even oral administration. The GH-releasing effect of GHRPs is the same in both sexes, but undergoes age-related variations. It increases from birth to puberty and decreases in aging. The GH-releasing activity of GHRPs is synergistic with that of GHRH and not affected by opioid receptor antagonists, while it is only blunted by inhibitory influences that are known to nearly abolish the effect of GHRH, such as neurotransmitters, glucose, free fatty acids, glucocorticoids, rhGH, and even exogenous somatostatin. GHRPs maintain their GH-releasing effect in somatotrope hypersecretory states, such as acromegaly, anorexia nervosa, and hyperthyroidism. On the other hand, GHRPs and their analogs have been reported to be effective in idiopathic short stature, in some situations of GH deficiency, in obesity, and in hypothyroidism, while in patients with pituitary stalk disconnection and in Cushing's syndrome the somatotrope responsiveness to GHRPs is almost absent. A potential role in the treatment of short stature, aging, catabolic states, and dilated cardiomyopathy has been envisaged."
"['Chowdhury TG', 'Wable GS', 'Sabaliauskas NA', 'Aoki C.']",Adolescent female C57BL/6 mice with vulnerability to activity-based anorexia exhibit weak inhibitory input onto hippocampal CA1 pyramidal cells.,Neuroscience,"Anorexia nervosa (AN) is an eating disorder characterized by self-imposed severe starvation and often linked with excessive exercise. Activity-based anorexia (ABA) is an animal model that reproduces some of the behavioral phenotypes of AN, including the paradoxical increase in voluntary exercise following food restriction (FR). Although certain rodents have been used successfully in this animal model, C57BL/6 mice are reported to be less susceptible to ABA. We re-examined the possibility that female C57BL/6 mice might exhibit ABA vulnerability during adolescence, the developmental stage/sex among the human population with particularly high AN vulnerability. After introducing the running wheel to the cage for 3 days, ABA was induced by restricting food access to 1h per day (ABA1, N=13) or 2 h per day (ABA2, N=10). All 23 exhibited increased voluntary wheel running (p<0.005) and perturbed circadian rhythm within 2 days. Only one out of five survived ABA1 for 3 days, while 10 out of 10 survived ABA2 for 3 days and could subsequently restore their body weight and circadian rhythm. Exposure of recovered animals to a second ABA2 induction revealed a large range of vulnerability, even within littermates. To look for the cellular substrate of differences in vulnerability, we began by examining synaptic patterns in the hippocampus, a brain region that regulates anxiety as well as plasticity throughout life. Quantitative EM analysis revealed that CA1 pyramidal cells of animals vulnerable to the second ABA2 exhibit less GABAergic innervation on cell bodies and dendrites, relative to the animals resilient to the second ABA (p<0.001) or controls (p<0.05). These findings reveal that C57BL/6J adolescent females can be used to capture brain changes underlying ABA vulnerability, and that GABAergic innervation of hippocampal pyramidal neurons is one important cellular substrate to consider for understanding the progression of and resilience to AN."
"['Krahn DD', 'Gosnell BA.']",Corticotropin-releasing hormone: possible role in eating disorders.,Psychiatr Med,"It has been hypothesized that corticotropin-releasing hormone (CRH) is an integral mediator in the pathophysiology of anorexia nervosa. This hypothesis is based on a) studies on patients with eating disorders which found elevated CRH levels in the cerebrospinal fluid and an abnormal response of the hypothalamopituitary (HYPAC) axis to intravenous CRH, and b) the discovery that the central administration of CRH to rats causes an acute anorectic state. Human and animal data supporting this hypothesis are reviewed, and important problems with the data base and the interpretation of these data are discussed. Appropriate directions for future research are highlighted."
['Van Vugt DA.'],Brain imaging studies of appetite in the context of obesity and the menstrual cycle.,Hum Reprod Update,"BACKGROUND Obesity affects many aspects of health, including reproduction. Despite unrelenting warnings about the health consequences of obesity, its prevalence continues to rise. Beginning with the discovery of leptin in 1994, the endocrinology of energy homeostasis has been significantly advanced. More recently, brain imaging studies have been providing novel insights into homeostatic and hedonic aspects of human ingestive behavior. METHODS A comprehensive MEDLINE search was conducted on the topic of neuroendocrine control of ingestive behavior with an emphasis on functional magnetic resonance imaging studies. Additional articles were collected by hand searching the bibliographies of all relevant articles retrieved. RESULTS This review describes recent advances in our understanding of endocrine signals that respond to acute and chronic energy states and regulate ingestive behavior so as to achieve a balance between energy intake and energy expenditure. Recently published brain imaging studies, describing the neural networks that process endocrine signals of energy state and hedonic cues associated with highly palatable foods, are highlighted. Brain responses to food cues are described in the context of appetite changes during the menstrual cycle both in normal physiology and under the conditions anorexia nervosa and bulimia nervosa. CONCLUSIONS The prevalence of obesity belies the plethora of endocrine signals in place to ensure energy homeostasis. However, satiety signals appear to be counteracted by hedonic signals derived from highly palatable foods typical of today's diet. A better understanding of the interaction between homeostatic and hedonic signals is needed to devise effective strategies for dealing with obesity. Menstrual cycle dependent changes in brain responses to food cues may provide insight into the normal physiological control of ingestive behavior as well as dysfunctional regulation associated with disordered eating."
['Davis C.'],Eating disorders and hyperactivity: a psychobiological perspective.,Can J Psychiatry,"Objective:
        
      
      To review the eating disorder research investigating the psychobiological connections between self-starvation and high-level exercising, including both animal experimentation and clinical field studies. In recent years it has been proposed that physical activity plays a central role in the pathogenesis and progression of the eating disorders-in particular, anorexia nervosa.
    


          Method:
        
      
      A review of research from animal experimentation and from clinical field studies investigating the biological and psychological implications of physical activity and starvation in the pathogenesis of eating disorders.
    


          Results:
        
      
      Animal research indicates that physical activity and starvation seem to potentiate one another and that alterations in the serotonergic system may underlie this process. Similar behavioural results have been found in recent clinical studies with eating-disordered patients, which suggests that physical activity plays a more central role in the development and maintenance of the eating disorders than had previously been thought.
    


          Conclusions:
        
      
      The emerging picture is that psychosocial factors seem to provide the most compelling factors in the etiology and onset of the disorder, while biological factors-in most cases induced by severe malnutrition and strenuous overexercising-predominate in the maintenance of the disorder."
"['Griffin ML', 'South SA', 'Yankov VI', 'Booth RA Jr', 'Asplin CM', 'Veldhuis JD', 'Evans WS.']",Insulin-dependent diabetes mellitus and menstrual dysfunction.,Ann Med,"Disordered reproductive function has long been recognized as a prevalent problem among women of reproductive age who suffer from insulin-dependent diabetes mellitus (IDDM). Delay in menarchial age is frequently seen if IDDM develops in the peripubertal years and some form of menstrual dysfunction is found in nearly one-third of all women of reproductive age with IDDM. This review summarizes some of the prevailing views regarding the mechanisms through which uncontrolled IDDM is thought to disrupt normal hypothalamic-pituitary-gonadal function. Although animal studies have suggested that poorly controlled IDDM may adversely affect the uterovaginal outflow tract and/or ovarian function, no clinical studies have suggested that abnormal uterine or ovarian function underlies the menstrual dysfunction observed in young diabetic women. Similarly, pituitary function as assessed by basal gonadotrophins and gonadotrophin-releasing hormone (GnRH)-stimulated gonadotrophin release appears to be normal in young women with IDDM. Moreover, although there has been some suggestion that pituitary function may decline with increasing duration of diabetes, this issue has not been thoroughly investigated. It appears that the oligo/amenorrhea noted in IDDM is principally hypothalamic in origin and may represent intermittent (and perhaps reversible) failure of the GnRH pulse generator, similar to the situation observed in women who engage in endurance training or who suffer from anorexia nervosa. Although the exact pathophysiological mechanisms that subserve dysfunction of the GnRH neuronal system are not well understood, attention has focused on increased central opioidergic activity, increased central dopaminergic activity, and central glucose deprivation. In this era of emphasis on tight glycaemic control and its impact in preventing diabetes complications, the consequences of IDDM on reproductive potential appear to be important and must be included in future investigative efforts."
